rna	seed	sample	cif_path	rmsd	is_of3_top
17RA	1812140441	1	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1812140441/17RA_motif_test_seed_1812140441_sample_1_model.cif	1.274	0
17RA	1812140441	2	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1812140441/17RA_motif_test_seed_1812140441_sample_2_model.cif	1.059	0
17RA	1812140441	3	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1812140441/17RA_motif_test_seed_1812140441_sample_3_model.cif	1.369	0
17RA	1812140441	4	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1812140441/17RA_motif_test_seed_1812140441_sample_4_model.cif	1.322	0
17RA	1812140441	5	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1812140441/17RA_motif_test_seed_1812140441_sample_5_model.cif	1.422	0
17RA	1812140441	6	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1812140441/17RA_motif_test_seed_1812140441_sample_6_model.cif	1.527	0
17RA	1812140441	7	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1812140441/17RA_motif_test_seed_1812140441_sample_7_model.cif	0.799	0
17RA	1812140441	8	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1812140441/17RA_motif_test_seed_1812140441_sample_8_model.cif	1.244	0
17RA	1812140441	9	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_1812140441/17RA_motif_test_seed_1812140441_sample_9_model.cif	1.630	0
17RA	2746317213	10	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_2746317213/17RA_motif_test_seed_2746317213_sample_10_model.cif	1.406	0
17RA	2746317213	1	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_2746317213/17RA_motif_test_seed_2746317213_sample_1_model.cif	1.473	0
17RA	2746317213	2	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_2746317213/17RA_motif_test_seed_2746317213_sample_2_model.cif	0.898	0
17RA	2746317213	3	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_2746317213/17RA_motif_test_seed_2746317213_sample_3_model.cif	1.717	0
17RA	2746317213	4	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_2746317213/17RA_motif_test_seed_2746317213_sample_4_model.cif	0.949	0
17RA	2746317213	5	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_2746317213/17RA_motif_test_seed_2746317213_sample_5_model.cif	1.373	0
17RA	2746317213	6	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_2746317213/17RA_motif_test_seed_2746317213_sample_6_model.cif	1.921	0
17RA	2746317213	7	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_2746317213/17RA_motif_test_seed_2746317213_sample_7_model.cif	1.473	0
17RA	2746317213	8	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_2746317213/17RA_motif_test_seed_2746317213_sample_8_model.cif	1.906	0
17RA	2746317213	9	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_2746317213/17RA_motif_test_seed_2746317213_sample_9_model.cif	0.660	0
17RA	3163119785	10	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_3163119785/17RA_motif_test_seed_3163119785_sample_10_model.cif	1.398	0
17RA	3163119785	1	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_3163119785/17RA_motif_test_seed_3163119785_sample_1_model.cif	1.444	0
17RA	3163119785	2	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_3163119785/17RA_motif_test_seed_3163119785_sample_2_model.cif	0.926	0
17RA	3163119785	3	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_3163119785/17RA_motif_test_seed_3163119785_sample_3_model.cif	1.527	0
17RA	3163119785	4	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_3163119785/17RA_motif_test_seed_3163119785_sample_4_model.cif	1.970	0
17RA	3163119785	5	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_3163119785/17RA_motif_test_seed_3163119785_sample_5_model.cif	1.603	0
17RA	3163119785	6	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_3163119785/17RA_motif_test_seed_3163119785_sample_6_model.cif	1.053	0
17RA	3163119785	7	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_3163119785/17RA_motif_test_seed_3163119785_sample_7_model.cif	1.200	0
17RA	3163119785	8	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_3163119785/17RA_motif_test_seed_3163119785_sample_8_model.cif	0.856	0
17RA	3163119785	9	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_3163119785/17RA_motif_test_seed_3163119785_sample_9_model.cif	0.877	0
17RA	958682846	10	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_958682846/17RA_motif_test_seed_958682846_sample_10_model.cif	1.539	0
17RA	958682846	1	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_958682846/17RA_motif_test_seed_958682846_sample_1_model.cif	0.935	0
17RA	958682846	2	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_958682846/17RA_motif_test_seed_958682846_sample_2_model.cif	1.450	0
17RA	958682846	3	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_958682846/17RA_motif_test_seed_958682846_sample_3_model.cif	1.297	0
17RA	958682846	4	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_958682846/17RA_motif_test_seed_958682846_sample_4_model.cif	1.824	0
17RA	958682846	5	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_958682846/17RA_motif_test_seed_958682846_sample_5_model.cif	1.432	0
17RA	958682846	6	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_958682846/17RA_motif_test_seed_958682846_sample_6_model.cif	2.220	0
17RA	958682846	7	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_958682846/17RA_motif_test_seed_958682846_sample_7_model.cif	1.184	0
17RA	958682846	8	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_958682846/17RA_motif_test_seed_958682846_sample_8_model.cif	1.318	0
17RA	958682846	9	$HOME/Projects/Openfold_template/batch_runs/withtemplate/17RA/output_of3-p2-145k/17RA_motif_test/seed_958682846/17RA_motif_test_seed_958682846_sample_9_model.cif	1.324	0
