RNA	length	pk_chars	rmsd_best
1LUX	17	0	1.801
1LVJ	31	0	2.149
1M5K	92	0	8.198
1M5L	38	0	2.436
1M5P	92	0	8.173
1M5V	92	0	8.178
1M82	25	0	0.977
1ME1	12	0	2.455
1MFK	23	0	1.262
1MFY	31	0	1.882
1MJI	34	0	3.743
1MNB	28	0	2.420
1MNX	42	0	2.341
1MSY	27	0	0.724
1MT4	24	0	0.421
1N66	22	0	0.891
1N8X	36	0	1.124
1NA2	30	0	0.871
1NBK	34	0	1.442
1NBR	29	0	1.364
1NBS	150	0	25.336
1NC0	24	0	1.040
1NEM	23	0	1.981
1NYB	24	0	0.613
1NYI	24	0	7.753
1O15	34	0	1.546
1OB5	76	2	2.101
1OLN	58	0	5.269
1OOA	29	0	3.980
1OQ0	15	0	1.628
1OW9	23	0	0.987
1P5M	55	0	3.365
1P5O	77	0	22.570
1P5P	77	0	22.452
1P6V	45	0	8.144
1PJY	22	0	0.896
1Q29	24	0	7.804
1Q75	15	0	0.896
1Q8N	38	0	4.073
1Q93	27	0	0.317
1Q96	27	0	0.281
1QC8	25	0	1.841
1QD3	29	0	2.530
1QF6	76	2	4.004
1QFQ	15	0	0.812
1QU2	75	2	2.769
1QU3	75	2	2.734
1QWA	21	0	1.128
1QWB	26	0	3.542
1QZW	47	0	3.205
1R2P	34	0	2.905
1R3E	17	0	2.047
1R4H	10	0	0.551
1R7W	34	0	2.414
1R7Z	34	0	1.962
1RAW	37	0	5.010
1RFR	30	0	1.247
1RHT	24	0	2.834
1RKJ	21	0	4.770
1RLG	25	0	0.668
1RMN	49	0	10.780
1ROQ	14	0	0.439
1RY1	128	0	2.048
1S03	47	0	2.587
1S2F	23	0	0.850
1S34	23	0	1.504
1S9S	101	0	8.877
1SCL	29	0	4.682
1SJF	74	16	6.518
1SLP	19	0	1.022
1SYZ	24	0	2.340
1SZ1	76	2	2.397
1T28	34	0	3.414
1T4L	32	0	4.906
1TBK	17	0	1.443
1TFN	24	0	1.391
1TJZ	22	0	1.335
1TLR	23	0	1.840
1TOB	27	0	2.008
1TXS	38	0	2.166
1U0B	74	0	5.193
1U1Y	17	0	3.581
1U2A	20	0	1.043
1U3K	38	0	3.941
1U63	49	0	2.765
1U6B	197	12	6.341
1U6P	101	0	11.634
1U9S	155	0	14.724
1ULL	35	0	2.556
1UN6	61	0	1.426
1URN	21	0	2.165
1UTS	29	0	4.434
1UUD	29	0	2.579
1UUU	19	0	0.917
1VBZ	73	16	6.295
1VC5	70	16	2.345
1VFG	34	0	1.627
1VOP	13	0	0.406
1WKS	17	0	0.403
1WSU	22	0	1.264
1WTT	14	0	1.570
1WZ2	88	2	4.125
1XJR	47	0	12.109
1XPF	23	0	2.987
1XSG	27	0	0.758
1XSH	27	0	1.108
1XSU	27	0	0.557
1XWP	15	0	0.576
1XWU	16	0	0.578
1Y27	66	6	0.866
1Y39	58	0	5.645
1YFG	75	2	3.514
1YKV	38	0	11.942
1YLG	31	0	1.837
1YN1	17	0	1.008
1YN2	17	0	0.609
1YNC	31	0	1.527
1YNE	31	0	3.267
1YSH	101	0	9.601
1Z2J	45	0	1.571
1Z30	18	0	0.338
1Z31	32	0	0.800
1Z43	101	0	1.510
1ZBH	16	0	0.802
1ZBN	28	0	2.991
1ZC5	41	0	0.723
1ZHO	38	0	2.811
1ZJW	74	2	5.351
1ZO3	76	2	1.271
1ZZN	197	12	6.356
28SR	28	0	1.457
2A9L	38	0	4.947
2A9X	28	0	2.109
2AB4	20	0	2.001
2AHT	27	0	1.134
2AKE	72	0	3.610
2ANR	25	0	2.774
2AU4	42	0	5.996
2AZX	72	0	1.763
2B2D	9	0	2.549
2B57	65	6	1.289
2B63	31	0	3.191
2B6G	19	0	0.941
2B7G	19	0	0.701
2B8S	23	0	2.844
2BH2	30	0	9.738
2BS0	12	0	1.315
2BTE	78	2	3.871
2BYT	78	2	3.346
2C50	14	0	2.836
2C51	15	0	1.739
2CD1	27	0	1.178
2CD6	27	0	0.887
2CSX	75	0	3.489
2CT8	74	2	3.199
2CV2	75	2	4.390
2CZJ	62	2	8.178
2D1B	39	0	1.746
2D6F	74	2	3.579
2DER	74	2	2.582
2DET	70	2	2.294
2DEU	75	2	9.944
2DR2	75	0	4.043
2DR5	32	0	1.966
2DR7	33	0	1.519
2DU3	71	2	2.923
2DU4	71	2	2.924
2DU5	71	2	2.831
2DU6	71	2	2.789
2DVI	34	0	2.015
2EES	68	8	1.307
2EET	68	8	1.099
2EEU	68	8	1.274
2EEV	68	8	1.080
2EEW	68	8	1.163
2ES5	23	0	1.174
2EUY	34	0	5.216
2EVY	14	0	0.769
2F87	12	0	0.340
2F88	34	0	1.729
2FDT	36	0	1.001
2FEY	43	0	2.143
2FK6	53	2	2.722
2FMT	77	2	3.078
2FY1	21	0	2.142
2G1G	17	0	2.296
2GDI	78	0	2.464
2GIO	29	0	0.410
2GIP	28	0	0.495
2GIS	95	6	2.851
2GO5	127	0	1.922
2GRW	22	0	1.062
2GV3	22	0	2.099
2GV4	22	0	0.863
2GVO	18	0	0.805
2HEM	24	0	0.925
2HGH	55	0	2.717
2HNS	22	0	0.626
2HO7	123	16	6.359
2HOJ	79	0	3.032
2HOK	78	0	7.424
2HOL	79	0	2.967
2HOM	80	0	19.040
2HOO	83	0	3.384
2HOP	76	0	7.278
2HUA	40	0	2.534
2HW8	36	0	3.041
2I7E	43	0	2.459
2I7Z	43	0	3.256
2IHX	75	0	11.592
2IL9	135	6	36.704
2IXY	27	0	1.046
2IY5	76	2	4.050
2IZ8	16	0	2.116
2IZM	13	0	1.296
2IZN	15	0	2.481
2JPP	20	0	2.773
2JQ7	58	0	5.201
2JR4	17	0	0.534
2JSE	22	0	1.275
2JTP	34	0	1.916
2JUK	22	0	1.143
2JWV	29	0	0.797
2JXV	33	0	0.964
2JYH	43	0	4.038
2JYM	22	0	0.604
2K4C	76	2	2.968
2K5Z	29	0	1.268
2K63	29	0	2.829
2K95	48	12	2.763
2KDQ	29	0	3.838
2KE6	48	0	3.809
2KF0	24	0	1.220
2KGP	25	0	1.657
2KHY	38	0	4.399
2KMJ	28	0	2.217
2KPC	17	0	0.737
2KPV	34	0	1.461
2KRL	102	8	19.286
2KRP	17	0	0.978
2KRZ	17	0	1.226
2KTZ	38	0	2.909
2KU0	38	0	3.091
2KUR	48	0	3.963
2KUU	48	0	3.808
2KUV	48	0	4.114
2KUW	48	0	1.646
2KVN	17	0	0.689
2KX5	29	0	3.652
2KX8	42	0	1.331
2KZL	55	0	6.129
2L1F	66	0	9.762
2L2K	42	0	0.959
2L3C	34	0	0.699
2L3E	35	0	1.522
2L3J	71	0	4.177
2L5Z	26	0	1.212
2L6I	16	0	0.629
2L8H	29	0	3.660
2L94	45	0	2.619
2LA5	36	0	1.333
2LAC	17	0	0.971
2LBJ	17	0	1.088
2LBK	17	0	0.614
2LBL	17	0	0.576
2LBQ	17	0	1.472
2LBS	32	0	3.920
2LC8	56	14	5.894
2LDL	27	0	1.207
2LDT	31	0	2.241
2LDZ	30	0	2.411
2LHP	37	0	1.588
2LJJ	27	0	1.100
2LK3	24	0	0.568
2LKR	111	0	22.021
2LP9	16	0	0.442
2LPA	15	0	0.244
2LPS	34	0	1.428
2LPT	34	0	0.893
2LQZ	27	0	1.537
2LU0	49	0	4.436
2LUB	37	0	1.070
2LUN	28	0	1.618
2LUP	32	0	4.803
2LV0	24	0	1.004
2LWK	32	0	1.500
2M12	23	0	2.215
2M21	21	0	1.044
2M22	23	0	1.092
2M23	29	0	3.178
2M24	29	0	1.995
2M4Q	27	0	1.338
2M4W	17	0	0.514
2M57	35	0	2.935
2M58	59	6	15.763
2MEQ	19	0	0.828
2MER	19	0	1.308
2MF0	72	0	13.387
2MFC	22	0	2.515
2MFD	19	0	1.136
2MFE	22	0	2.975
2MFF	21	0	2.141
2MFG	21	0	1.940
2MHI	53	0	7.930
2MIS	26	0	1.414
2MIY	60	12	7.342
2MNC	16	0	1.169
2MQT	68	0	3.614
2MQV	68	0	11.397
2MS0	71	2	10.563
2MS1	71	2	9.797
2MTJ	47	0	3.276
2MTK	47	0	2.722
2MXL	39	0	3.970
2MXS	27	0	1.542
2N0J	27	0	1.321
2N0R	23	0	3.387
2N1Q	155	0	30.063
2N2O	23	0	2.626
2N2P	23	0	1.484
2N3O	23	0	1.907
2N3Q	62	0	5.486
2N3R	62	0	4.795
2N4L	53	0	1.893
2N6S	36	0	1.021
2N6T	42	0	1.818
2N6W	68	0	5.083
2N6X	43	0	3.849
2N7M	92	0	18.557
2N7X	23	0	1.073
2N82	23	0	3.483
2N8V	70	10	6.608
2NBX	108	0	9.961
2NBY	39	0	1.446
2NBZ	40	0	1.608
2NC1	67	0	11.413
2NCI	28	0	1.995
2NOQ	190	30	8.951
2NQP	68	0	4.991
2NR0	80	2	3.376
2NRE	56	0	11.996
2NUE	46	0	1.373
2NZ4	141	18	8.699
2O33	20	0	0.626
2OEU	42	0	15.834
2OIU	71	0	8.723
2OJ8	8	0	0.796
2OM7	96	0	3.830
2OOM	16	0	3.826
2OZB	33	0	2.584
2P89	34	0	9.771
2PCV	35	0	9.977
2PCW	35	0	11.264
2PJP	23	0	1.651
2PLY	23	0	1.638
2PN9	16	0	3.518
2PXE	49	0	2.667
2PXL	47	0	2.195
2PXQ	49	0	2.443
2PXT	49	0	2.618
2PXV	49	0	2.436
2QBZ	153	2	20.463
2QH2	24	0	1.185
2QH3	23	0	2.079
2QH4	18	0	0.831
2QUS	69	2	1.833
2QUW	57	2	11.304
2QUX	25	0	3.542
2QWY	53	14	4.519
2R8S	159	0	4.104
2RD2	74	2	5.338
2RLU	19	0	0.633
2RN1	16	0	2.970
2RO2	23	0	0.482
2RPK	20	0	0.510
2RVO	34	0	1.529
2TOB	20	0	0.754
2U2A	20	0	1.013
2V0G	76	2	3.525
2V3C	96	0	1.761
2VPL	48	0	3.461
2W2H	22	0	2.452
2WW9	63	0	14.529
2WWA	63	0	14.521
2WWB	63	0	14.542
2XKV	96	0	5.302
2XLK	15	0	1.479
2XXA	102	0	32.664
2Y8W	20	0	5.078
2Y8Y	19	0	5.415
2Y95	14	0	0.734
2Y9B	68	0	25.295
2Y9C	68	0	24.720
2Y9D	68	0	25.234
2Y9H	18	0	1.868
2YDH	95	6	2.938
2YGH	94	6	1.592
2YIE	57	0	13.875
2ZH2	34	0	2.245
2ZH3	34	0	1.516
2ZH4	34	0	2.695
2ZH5	34	0	1.213
2ZH8	34	0	1.990
2ZHA	33	0	1.437
2ZHB	34	0	1.787
2ZM5	74	2	3.209
2ZNI	72	0	4.193
2ZUE	75	2	4.960
2ZUF	76	2	4.973
2ZXU	74	2	3.215
2ZY6	38	0	4.200
2ZZM	84	2	3.152
2ZZN	71	2	3.202
300D	25	0	6.886
359D	25	0	7.112
361D	20	0	2.117
387D	26	0	15.918
3A2K	77	2	2.602
3A3A	86	2	2.152
3ADB	92	2	3.043
3ADC	92	2	4.259
3ADD	88	2	2.544
3AGV	24	0	2.267
3AKZ	74	2	4.550
3AL0	74	2	4.646
3AM1	81	2	2.115
3B0V	73	2	2.231
3B31	29	0	2.698
3B4A	122	16	8.207
3B4B	123	16	9.106
3BBV	76	0	3.607
3BO2	197	12	6.381
3BO3	197	12	6.390
3CUL	92	0	4.637
3CUN	92	0	5.919
3CW6	77	2	2.363
3D0U	161	12	1.574
3D0X	161	12	1.554
3D2V	77	0	4.215
3D2X	77	0	4.142
3DEG	77	2	2.848
3DH3	22	0	3.048
3DIG	174	12	1.596
3DIO	174	12	1.468
3DIQ	173	12	1.470
3DIZ	174	12	1.507
3DKN	32	0	7.020
3DS7	68	8	3.485
3DW6	26	0	1.699
3E5C	52	0	1.192
3E5F	54	0	3.963
3EGZ	65	0	3.842
3EPH	69	2	2.803
3EPJ	69	2	2.773
3EPK	69	2	2.818
3EPL	69	0	2.850
3F2W	109	8	1.277
3F2X	107	8	1.289
3F30	109	8	1.156
3FOZ	74	2	3.091
3G4M	68	8	1.094
3G8S	141	10	8.387
3G8T	141	16	11.025
3G96	141	12	8.633
3G9C	141	18	7.484
3GCA	33	4	0.507
3GX5	95	6	2.881
3HAY	68	0	10.408
3HHN	137	22	2.427
3HL2	82	2	9.980
3IAB	46	0	10.950
3ICQ	62	0	3.044
3ID5	33	0	14.440
3IIN	197	12	6.445
3IQN	95	6	2.778
3IRW	92	2	20.692
3IVK	128	22	2.359
3IVN	69	8	2.178
3IWN	94	4	3.268
3IZD	151	0	15.697
3IZZ	118	0	21.859
3J0D	50	0	9.631
3J0L	112	0	20.928
3J0O	112	0	19.822
3J0P	112	0	20.733
3J0Q	112	0	21.513
3J45	108	2	3.949
3J46	109	2	5.053
3J5S	174	2	24.695
3J5Y	88	2	2.214
3JB9	111	0	40.499
3K0J	87	0	13.530
3KTV	108	0	2.351
3KTW	96	0	12.995
3L0U	73	2	1.372
3L3C	141	12	8.659
3LA5	71	6	1.197
3LWO	58	0	20.493
3LWR	58	0	20.283
3LWV	58	0	20.225
3MJA	29	0	2.548
3MOJ	69	0	6.034
3MUM	93	4	21.909
3MUR	93	4	21.713
3MUT	93	4	22.594
3MUV	92	2	3.627
3MXH	93	4	21.369
3NDB	136	0	2.073
3NKB	64	4	3.110
3NMU	34	0	18.414
3NPN	51	8	7.016
3NPQ	52	10	4.400
3NVI	24	0	3.648
3OIJ	14	0	3.242
3OIN	14	0	3.250
3OUY	35	0	2.816
3OV7	34	0	1.961
3OWI	87	0	2.871
3OWW	88	0	2.889
3OWZ	88	0	2.999
3OX0	88	0	2.864
3OXB	88	0	3.633
3OXD	88	0	3.981
3OXE	88	0	2.868
3OXM	88	0	2.843
3P22	40	0	2.585
3P49	169	0	2.972
3PDR	161	2	8.055
3PHP	23	0	0.927
3Q3Z	77	16	18.925
3Q50	34	6	0.656
3Q51	32	4	0.799
3QSY	77	0	7.727
3R1H	130	12	4.498
3R4F	66	0	2.261
3R9X	35	0	10.871
3RG5	86	2	1.404
3RKF	68	8	1.911
3RW6	62	0	12.614
3SD1	89	10	2.301
3SD3	89	10	2.441
3SIU	28	0	2.766
3SKL	67	8	4.018
3SKT	67	8	4.073
3SKW	64	6	1.694
3SLM	66	6	1.483
3SLQ	66	6	1.580
3SN2	29	0	2.085
3SNP	29	0	5.211
3SUH	101	8	8.648
3SUX	101	8	8.740
3SUY	101	8	8.878
3T4B	84	12	2.349
3TRA	72	0	1.981
3TRZ	21	0	4.580
3TS0	23	0	3.507
3TS2	24	0	6.404
3TUP	74	2	2.059
3UD3	92	2	21.542
3UMY	80	2	0.846
3UZS	20	0	2.930
3V11	76	2	2.396
3V7E	127	6	3.613
3VRS	52	8	1.704
3W1K	92	2	1.848
3W3S	98	2	1.667
3WC1	73	0	3.521
3WC2	74	2	1.923
3WFR	75	2	3.229
3WFS	74	0	2.557
