RNA	Length	Baseline_RMSD	Aware_MSA_RMSD	Delta	Winner
2JWV	29	0.797	0.916	+0.119	BASELINE
2JXV	33	0.964	0.900	-0.064	AWARE
2JYH	43	4.038	4.154	+0.116	BASELINE
2JYM	22	0.604	1.866	+1.262	BASELINE
2K4C	76	2.968	3.027	+0.059	BASELINE
2K5Z	29	1.268	1.741	+0.473	BASELINE
2K63	29	2.829	2.771	-0.058	AWARE
2K95	48	2.763	2.699	-0.064	AWARE
2KD8	22	0.668	0.815	+0.147	BASELINE
2KDQ	29	3.838	3.885	+0.047	BASELINE
2KE6	48	3.809	3.971	+0.162	BASELINE
2KF0	24	1.220	1.135	-0.085	AWARE
2KGP	25	1.657	1.538	-0.119	AWARE
2KHY	38	4.399	4.206	-0.193	AWARE
2KMJ	28	2.217	2.077	-0.140	AWARE
2KPC	17	0.737	0.729	-0.008	AWARE
2KPD	17	0.838	0.652	-0.186	AWARE
2KPV	34	1.461	1.693	+0.232	BASELINE
2KRL	102	19.286	17.429	-1.857	AWARE
2KRP	17	0.978	0.843	-0.135	AWARE
2KRZ	17	1.226	1.515	+0.289	BASELINE
2KTZ	38	2.909	2.667	-0.242	AWARE
2KU0	38	3.091	3.228	+0.137	BASELINE
2KUR	48	3.963	4.452	+0.489	BASELINE
2KUU	48	3.808	4.070	+0.262	BASELINE
2KUV	48	4.114	4.504	+0.390	BASELINE
2KUW	48	1.646	3.438	+1.792	BASELINE
2KVN	17	0.689	0.830	+0.141	BASELINE
2KX5	29	3.652	4.014	+0.362	BASELINE
2KX8	42	1.331	1.297	-0.034	AWARE
2KZL	55	6.129	5.687	-0.442	AWARE
2L1F	66	9.762	6.694	-3.068	AWARE
2L2K	42	0.959	1.287	+0.328	BASELINE
2L3C	34	0.699	0.764	+0.065	BASELINE
2L3E	35	1.522	1.471	-0.051	AWARE
2L3J	71	4.177	4.423	+0.246	BASELINE
2L5Z	26	1.212	1.116	-0.096	AWARE
2L6I	16	0.629	0.587	-0.042	AWARE
2L8H	29	3.660	4.401	+0.741	BASELINE
2L94	45	2.619	2.609	-0.010	AWARE
2LA5	36	1.333	5.683	+4.350	BASELINE
2LAC	17	0.971	0.842	-0.129	AWARE
2LBJ	17	1.088	1.031	-0.057	AWARE
2LBK	17	0.614	0.594	-0.020	AWARE
2LBL	17	0.576	0.638	+0.062	BASELINE
2LBQ	17	1.472	1.294	-0.178	AWARE
2LBS	32	3.920	3.795	-0.125	AWARE
2LC8	56	5.894	6.945	+1.051	BASELINE
2LDL	27	1.207	1.456	+0.249	BASELINE
2LDT	31	2.241	2.111	-0.130	AWARE
2LDZ	30	2.411	2.492	+0.081	BASELINE
2LHP	37	1.588	2.082	+0.494	BASELINE
2LJJ	27	1.100	1.263	+0.163	BASELINE
2LK3	24	0.568	0.730	+0.162	BASELINE
2LKR	111	22.021	13.174	-8.847	AWARE
2LP9	16	0.442	0.348	-0.094	AWARE
2LPA	15	0.244	0.211	-0.033	AWARE
2LPS	34	1.428	1.379	-0.049	AWARE
2LPT	34	0.893	0.997	+0.104	BASELINE
2LQZ	27	1.537	1.865	+0.328	BASELINE
2LU0	49	4.436	4.236	-0.200	AWARE
2LUB	37	1.070	1.020	-0.050	AWARE
2LUN	28	1.618	1.816	+0.198	BASELINE
2LUP	32	4.803	4.656	-0.147	AWARE
2LV0	24	1.004	1.036	+0.032	BASELINE
2LWK	32	1.500	0.970	-0.530	AWARE
2M12	23	2.215	1.741	-0.474	AWARE
2M21	21	1.044	1.128	+0.084	BASELINE
2M22	23	1.092	1.201	+0.109	BASELINE
2M23	29	3.178	3.184	+0.006	BASELINE
2M24	29	1.995	1.992	-0.003	AWARE
2M4Q	27	1.338	2.222	+0.884	BASELINE
2M4W	17	0.514	0.743	+0.229	BASELINE
2M57	35	2.935	3.024	+0.089	BASELINE
2M58	59	15.763	4.855	-10.908	AWARE
2MEQ	19	0.828	1.643	+0.815	BASELINE
2MER	19	1.308	1.384	+0.076	BASELINE
2MF0	72	13.387	13.495	+0.108	BASELINE
2MFC	22	2.515	2.812	+0.297	BASELINE
2MFD	19	1.136	1.225	+0.089	BASELINE
2MFE	22	2.975	3.042	+0.067	BASELINE
2MFF	21	2.141	2.219	+0.078	BASELINE
2MFG	21	1.940	2.297	+0.357	BASELINE
2MHI	53	7.930	10.167	+2.237	BASELINE
2MIS	26	1.414	1.298	-0.116	AWARE
2MIY	60	7.342	3.148	-4.194	AWARE
2MNC	16	1.169	1.052	-0.117	AWARE
2MQT	68	3.614	3.865	+0.251	BASELINE
2MQV	68	11.397	10.334	-1.063	AWARE
2MS0	71	10.563	10.400	-0.163	AWARE
2MS1	71	9.797	9.704	-0.093	AWARE
2MTJ	47	3.276	9.622	+6.346	BASELINE
2MTK	47	2.722	10.326	+7.604	BASELINE
2MXL	39	3.970	4.238	+0.268	BASELINE
2MXS	27	1.542	1.329	-0.213	AWARE
2N0J	27	1.321	1.535	+0.214	BASELINE
2N0R	23	3.387	3.384	-0.003	AWARE
2N1Q	155	30.063	16.685	-13.378	AWARE
2N2O	23	2.626	3.100	+0.474	BASELINE
2N2P	23	1.484	2.665	+1.181	BASELINE
2N3O	23	1.907	1.636	-0.271	AWARE
2N3Q	62	5.486	6.425	+0.939	BASELINE
2N3R	62	4.795	5.527	+0.732	BASELINE
2N4L	53	1.893	1.923	+0.030	BASELINE
2N6S	36	1.021	0.857	-0.164	AWARE
2N6T	42	1.818	1.420	-0.398	AWARE
2N6W	68	5.083	5.226	+0.143	BASELINE
2N6X	43	3.849	4.167	+0.318	BASELINE
2N7M	92	18.557	12.911	-5.646	AWARE
2N7X	23	1.073	1.965	+0.892	BASELINE
2N82	23	3.483	3.494	+0.011	BASELINE
2N8V	70	6.608	6.807	+0.199	BASELINE
2NBX	108	9.961	12.359	+2.398	BASELINE
2NBY	39	1.446	1.510	+0.064	BASELINE
2NBZ	40	1.608	1.527	-0.081	AWARE
2NC1	67	11.413	12.941	+1.528	BASELINE
2NCI	28	1.995	1.822	-0.173	AWARE
2NOQ	190	8.951	16.025	+7.074	BASELINE
2NQP	71	4.991	4.866	-0.125	AWARE
2NR0	81	3.376	3.063	-0.313	AWARE
2NRE	56	11.996	3.550	-8.446	AWARE
2NUE	46	1.373	1.400	+0.027	BASELINE
2NZ4	141	8.699	11.664	+2.965	BASELINE
2O33	20	0.626	0.643	+0.017	BASELINE
2OEU	42	15.834	15.377	-0.457	AWARE
2OIU	71	8.723	9.113	+0.390	BASELINE
2OJ8	8	0.796	0.842	+0.046	BASELINE
2OM7	96	3.830	4.567	+0.737	BASELINE
2OOM	16	3.826	3.630	-0.196	AWARE
2OZB	33	2.584	2.824	+0.240	BASELINE
2P89	34	9.771	9.812	+0.041	BASELINE
2PCV	35	9.977	11.671	+1.694	BASELINE
2PCW	35	11.264	12.992	+1.728	BASELINE
2PJP	23	1.651	1.412	-0.239	AWARE
2PLY	23	1.638	1.724	+0.086	BASELINE
2PN9	16	3.518	3.237	-0.281	AWARE
2PXE	49	2.667	2.657	-0.010	AWARE
2PXL	47	2.195	2.110	-0.085	AWARE
2PXQ	49	2.443	2.519	+0.076	BASELINE
2PXT	49	2.618	2.837	+0.219	BASELINE
2PXV	49	2.436	2.744	+0.308	BASELINE
2QBZ	153	20.463	9.634	-10.829	AWARE
2QH2	24	1.185	1.693	+0.508	BASELINE
2QH3	23	2.079	2.684	+0.605	BASELINE
2QH4	18	0.831	0.959	+0.128	BASELINE
2QUS	69	1.833	3.866	+2.033	BASELINE
2QUW	57	11.304	12.441	+1.137	BASELINE
2QUX	25	3.542	3.674	+0.132	BASELINE
2QWY	53	4.519	4.439	-0.080	AWARE
2R8S	159	4.104	4.347	+0.243	BASELINE
2RD2	74	5.338	5.378	+0.040	BASELINE
2RLU	19	0.633	0.596	-0.037	AWARE
2RN1	16	2.970	2.258	-0.712	AWARE
2RO2	23	0.482	0.546	+0.064	BASELINE
2RPK	20	0.510	0.610	+0.100	BASELINE
2RVO	34	1.529	1.570	+0.041	BASELINE
2TOB	20	0.754	0.817	+0.063	BASELINE
2TRA	73	1.960	2.075	+0.115	BASELINE
2U2A	20	1.013	0.914	-0.099	AWARE
2V0G	76	3.525	3.970	+0.445	BASELINE
2V3C	96	1.761	1.766	+0.005	BASELINE
2VPL	48	3.461	3.630	+0.169	BASELINE
2W2H	22	2.452	2.026	-0.426	AWARE
2WW9	63	14.529	7.419	-7.110	AWARE
2WWA	63	14.521	7.408	-7.113	AWARE
2WWB	63	14.542	7.449	-7.093	AWARE
2XKV	96	5.302	6.106	+0.804	BASELINE
2XLK	16	1.479	1.440	-0.039	AWARE
2XXA	102	32.664	3.540	-29.124	AWARE
2Y8W	20	5.078	4.848	-0.230	AWARE
2Y8Y	19	5.415	5.366	-0.049	AWARE
2Y95	14	0.734	0.699	-0.035	AWARE
2Y9B	68	25.295	13.308	-11.987	AWARE
2Y9C	68	24.720	23.510	-1.210	AWARE
2Y9D	68	25.234	14.137	-11.097	AWARE
2Y9H	19	1.868	1.609	-0.259	AWARE
2YDH	95	2.938	2.842	-0.096	AWARE
2YGH	95	1.592	1.736	+0.144	BASELINE
2YIE	57	13.875	13.649	-0.226	AWARE
2ZH2	34	2.245	2.208	-0.037	AWARE
2ZH3	34	1.516	1.524	+0.008	BASELINE
2ZH4	34	2.695	2.785	+0.090	BASELINE
2ZH5	34	1.213	1.186	-0.027	AWARE
2ZH8	34	1.990	1.954	-0.036	AWARE
2ZHA	33	1.437	1.317	-0.120	AWARE
2ZHB	34	1.787	1.578	-0.209	AWARE
2ZM5	74	3.209	3.161	-0.048	AWARE
2ZNI	72	4.193	7.036	+2.843	BASELINE
2ZUE	76	4.960	4.835	-0.125	AWARE
2ZUF	76	4.973	4.939	-0.034	AWARE
2ZXU	74	3.215	3.174	-0.041	AWARE
2ZY6	38	4.200	5.088	+0.888	BASELINE
2ZZM	84	3.152	3.263	+0.111	BASELINE
2ZZN	71	3.202	3.487	+0.285	BASELINE
300D	25	6.886	6.866	-0.020	AWARE
359D	25	7.112	7.055	-0.057	AWARE
361D	20	2.117	2.481	+0.364	BASELINE
387D	26	15.918	15.948	+0.030	BASELINE
3A2K	77	2.602	2.547	-0.055	AWARE
3A3A	86	2.152	2.329	+0.177	BASELINE
3ADB	92	3.043	3.567	+0.524	BASELINE
3ADC	92	4.259	4.058	-0.201	AWARE
3ADD	88	2.544	2.509	-0.035	AWARE
3AGV	24	2.267	1.940	-0.327	AWARE
3AKZ	74	4.550	5.028	+0.478	BASELINE
3AL0	74	4.646	5.134	+0.488	BASELINE
3AM1	81	2.115	2.170	+0.055	BASELINE
3AMT	78	3.024	3.012	-0.012	AWARE
3AMU	78	3.119	3.088	-0.031	AWARE
3B0V	73	2.231	2.271	+0.040	BASELINE
3B31	29	2.698	2.594	-0.104	AWARE
3B4A	122	8.207	13.890	+5.683	BASELINE
3B4B	123	9.106	13.175	+4.069	BASELINE
3BBV	76	3.607	3.679	+0.072	BASELINE
3BO2	197	6.381	8.114	+1.733	BASELINE
3BO3	197	6.390	7.893	+1.503	BASELINE
3CUL	92	4.637	3.829	-0.808	AWARE
3CUN	92	5.919	4.866	-1.053	AWARE
3CW6	77	2.363	2.683	+0.320	BASELINE
3D0U	161	1.574	6.760	+5.186	BASELINE
3D0X	161	1.554	7.015	+5.461	BASELINE
3D2V	77	4.215	3.804	-0.411	AWARE
3D2X	77	4.142	3.822	-0.320	AWARE
3DEG	77	2.848	3.142	+0.294	BASELINE
3DH3	22	3.048	2.978	-0.070	AWARE
3DIG	174	1.596	3.079	+1.483	BASELINE
3DIO	174	1.468	3.013	+1.545	BASELINE
3DIQ	173	1.470	2.420	+0.950	BASELINE
3DIZ	174	1.507	2.988	+1.481	BASELINE
3DKN	32	7.020	5.656	-1.364	AWARE
3DS7	68	3.485	4.810	+1.325	BASELINE
3DW6	26	1.699	1.431	-0.268	AWARE
3E5C	52	1.192	5.082	+3.890	BASELINE
3E5F	54	3.963	7.782	+3.819	BASELINE
3EGZ	65	3.842	4.176	+0.334	BASELINE
3EPH	69	2.803	2.948	+0.145	BASELINE
3EPJ	69	2.773	2.913	+0.140	BASELINE
3EPK	69	2.818	2.951	+0.133	BASELINE
3EPL	69	2.850	2.970	+0.120	BASELINE
3F2W	109	1.277	1.555	+0.278	BASELINE
3F2X	107	1.289	1.576	+0.287	BASELINE
3F30	109	1.156	1.441	+0.285	BASELINE
3FOZ	74	3.091	2.929	-0.162	AWARE
3G4M	68	1.094	1.810	+0.716	BASELINE
3G8S	141	8.387	12.278	+3.891	BASELINE
3G96	141	8.633	11.429	+2.796	BASELINE
3G9C	141	7.484	10.436	+2.952	BASELINE
3GCA	33	0.507	2.613	+2.106	BASELINE
3GES	68	1.183	1.791	+0.608	BASELINE
3GX5	95	2.881	2.800	-0.081	AWARE
3HAY	69	10.408	10.323	-0.085	AWARE
3HHN	137	2.427	2.997	+0.570	BASELINE
3HL2	82	9.980	3.497	-6.483	AWARE
3IAB	46	10.950	10.462	-0.488	AWARE
3ICQ	62	3.044	3.261	+0.217	BASELINE
3ID5	34	14.440	11.799	-2.641	AWARE
3IIN	197	6.445	8.143	+1.698	BASELINE
3IQN	95	2.778	2.875	+0.097	BASELINE
3IRW	92	20.692	4.371	-16.321	AWARE
3IVK	128	2.359	4.091	+1.732	BASELINE
3IVN	69	2.178	2.801	+0.623	BASELINE
3IWN	94	3.268	3.733	+0.465	BASELINE
3IZD	151	15.697	16.580	+0.883	BASELINE
3IZZ	118	21.859	24.042	+2.183	BASELINE
3J0D	50	9.631	7.048	-2.583	AWARE
3J0L	112	20.928	15.972	-4.956	AWARE
3J0O	112	19.822	15.971	-3.851	AWARE
3J0P	112	20.733	15.972	-4.761	AWARE
3J0Q	112	21.513	15.970	-5.543	AWARE
3J45	108	3.949	18.211	+14.262	BASELINE
3J46	109	5.053	18.242	+13.189	BASELINE
3J5S	174	24.695	38.073	+13.378	BASELINE
3J5Y	88	2.214	2.814	+0.600	BASELINE
3JB9	111	40.499	26.455	-14.044	AWARE
3JCM	113	26.515	27.498	+0.983	BASELINE
3K0J	87	13.530	2.858	-10.672	AWARE
3KTV	108	2.351	3.446	+1.095	BASELINE
3KTW	96	12.995	20.211	+7.216	BASELINE
3L0U	73	1.372	1.559	+0.187	BASELINE
3L3C	141	8.659	11.446	+2.787	BASELINE
3LA5	71	1.197	3.711	+2.514	BASELINE
3LWO	58	20.493	11.287	-9.206	AWARE
3LWR	58	20.283	11.013	-9.270	AWARE
3LWV	58	20.225	10.977	-9.248	AWARE
3MJA	29	2.548	2.656	+0.108	BASELINE
3MOJ	69	6.034	6.662	+0.628	BASELINE
3MUM	93	21.909	4.772	-17.137	AWARE
3MUR	93	21.713	4.252	-17.461	AWARE
3MUT	93	22.594	4.374	-18.220	AWARE
3MUV	92	3.627	4.196	+0.569	BASELINE
3MXH	93	21.369	4.502	-16.867	AWARE
3NDB	136	2.073	2.360	+0.287	BASELINE
3NKB	64	3.110	7.548	+4.438	BASELINE
3NMU	34	18.414	15.085	-3.329	AWARE
3NPN	51	7.016	5.026	-1.990	AWARE
3NPQ	52	4.400	4.409	+0.009	BASELINE
3NVI	24	3.648	3.652	+0.004	BASELINE
3OIJ	14	3.242	3.327	+0.085	BASELINE
3OIN	14	3.250	3.336	+0.086	BASELINE
3OUY	35	2.816	2.902	+0.086	BASELINE
3OV7	34	1.961	1.886	-0.075	AWARE
3OWI	87	2.871	3.970	+1.099	BASELINE
3OWW	88	2.889	3.484	+0.595	BASELINE
3OWZ	88	2.999	4.236	+1.237	BASELINE
3OX0	88	2.864	3.499	+0.635	BASELINE
3OXB	88	3.633	3.725	+0.092	BASELINE
3OXD	88	3.981	3.278	-0.703	AWARE
3OXE	88	2.868	3.522	+0.654	BASELINE
3OXM	88	2.843	3.515	+0.672	BASELINE
3P22	40	2.585	2.812	+0.227	BASELINE
3P49	169	2.972	3.829	+0.857	BASELINE
3PDR	161	8.055	6.795	-1.260	AWARE
3PHP	23	0.927	0.848	-0.079	AWARE
